age,job,marital,education,default,balance,housing,loan,duration,previous,poutcome,Y,y
58,retired,married,primary,no,121,yes,no,50,0,unknown,no,0
43,technician,single,secondary,no,593,yes,no,55,0,unknown,no,0
41,admin.,divorced,secondary,no,270,yes,no,222,0,unknown,no,0
58,technician,married,unknown,no,71,yes,no,71,0,unknown,no,0
57,services,married,secondary,no,162,yes,no,174,0,unknown,no,0
57,blue-collar,married,primary,no,52,yes,no,38,0,unknown,no,0
44,admin.,married,secondary,no,-372,yes,no,172,0,unknown,no,0
53,technician,married,secondary,no,-3,no,no,1666,0,unknown,no,0
36,admin.,divorced,secondary,no,506,yes,no,577,0,unknown,no,0
42,admin.,single,secondary,no,-76,yes,no,787,0,unknown,no,0
53,technician,divorced,secondary,no,989,yes,no,812,0,unknown,no,0
33,services,married,secondary,no,790,yes,no,391,0,unknown,no,0
49,blue-collar,married,unknown,no,154,yes,no,357,0,unknown,no,0
57,blue-collar,married,secondary,no,5935,yes,yes,258,0,unknown,no,0
44,blue-collar,married,secondary,no,582,no,yes,211,0,unknown,no,0
47,services,divorced,secondary,no,164,no,no,212,0,unknown,no,0
52,blue-collar,married,primary,no,128,yes,no,229,0,unknown,no,0
56,self-employed,married,primary,no,-34,yes,yes,212,0,unknown,no,0
36,blue-collar,married,primary,no,448,yes,no,286,0,unknown,no,0
59,management,divorced,tertiary,no,262,no,no,178,0,unknown,no,0
52,technician,married,tertiary,no,7,no,yes,175,0,unknown,no,0
31,blue-collar,married,secondary,no,0,yes,no,143,0,unknown,no,0
55,services,married,secondary,no,2476,yes,no,579,0,unknown,yes,1
53,housemaid,divorced,primary,no,947,yes,no,163,0,unknown,no,0
45,technician,married,secondary,no,86,yes,no,270,0,unknown,no,0
54,admin.,married,tertiary,no,184,no,no,673,0,unknown,yes,1
54,management,married,secondary,no,4080,no,no,140,0,unknown,no,0
42,admin.,married,secondary,no,445,yes,no,67,0,unknown,no,0
34,blue-collar,married,secondary,no,243,yes,no,291,0,unknown,no,0
50,services,married,secondary,no,5699,yes,no,381,0,unknown,no,0
35,entrepreneur,divorced,secondary,no,-69,yes,no,300,0,unknown,no,0
55,retired,married,secondary,no,0,no,yes,136,0,unknown,no,0
44,admin.,divorced,secondary,no,66,yes,no,206,0,unknown,no,0
39,blue-collar,married,primary,no,279,yes,no,361,0,unknown,no,0
30,student,single,tertiary,no,25,yes,no,89,0,unknown,no,0
59,retired,married,secondary,no,319,yes,no,143,0,unknown,no,0
54,technician,married,tertiary,no,258,no,no,310,0,unknown,no,0
50,technician,single,tertiary,no,339,yes,no,2,0,unknown,no,0
32,blue-collar,married,secondary,no,1331,yes,no,286,0,unknown,no,0
40,self-employed,married,secondary,no,672,yes,no,164,0,unknown,no,0
54,management,married,tertiary,no,313,yes,no,83,0,unknown,no,0
